time,temperature,humidity
2019-10-15 00:29:49,79,57.0
2019-10-15 00:29:52,79,57.0
2019-10-15 00:29:55,79,57.0
2019-10-15 00:29:58,79,57.0
2019-10-15 00:30:04,79,57.0
2019-10-15 00:30:07,79,56.0
2019-10-15 00:30:15,79,56.0
2019-10-15 00:30:18,79,56.0
2019-10-15 00:30:21,79,56.0
2019-10-15 00:30:24,79,56.0
2019-10-15 00:30:28,77,55.0
2019-10-15 00:30:31,79,56.0
2019-10-15 00:30:37,79,73.0
2019-10-15 00:30:40,79,79.0
2019-10-15 00:30:44,81,84.0
2019-10-15 00:30:47,81,88.0
2019-10-15 00:30:50,82,92.0
2019-10-15 00:30:53,82,93.0
2019-10-15 00:30:56,84,94.0
2019-10-15 00:31:04,86,91.0
2019-10-15 00:31:08,86,90.0
2019-10-15 00:31:11,88,90.0
2019-10-15 00:31:16,88,87.0
2019-10-15 00:31:20,88,86.0
2019-10-15 00:31:23,90,85.0
2019-10-15 00:31:26,90,84.0
2019-10-15 00:31:29,90,83.0
2019-10-15 00:31:32,90,82.0
2019-10-15 00:31:35,90,81.0
2019-10-15 00:31:38,91,82.0
2019-10-15 00:31:41,91,81.0
2019-10-15 00:31:44,91,80.0
2019-10-15 00:31:47,91,67.0
2019-10-15 00:31:55,91,49.0
2019-10-15 00:31:58,91,47.0
2019-10-15 00:32:01,91,45.0
2019-10-15 00:32:05,91,44.0
2019-10-15 00:39:49,77,59.0
2019-10-15 00:39:52,77,56.0
2019-10-15 00:39:55,77,56.0
2019-10-15 00:39:59,77,56.0
2019-10-15 00:40:02,77,56.0
2019-10-15 00:40:05,77,56.0
2019-10-15 00:40:08,77,56.0
2019-10-15 00:40:11,77,56.0
2019-10-15 00:40:12,77,56.0
2019-10-15 00:40:16,77,56.0
2019-10-15 00:40:19,77,56.0
2019-10-15 00:40:22,77,56.0
2019-10-15 00:40:28,77,56.0
2019-10-15 00:40:32,77,56.0
2019-10-15 00:40:35,77,56.0
2019-10-15 00:40:38,77,56.0
2019-10-15 00:40:45,77,56.0
2019-10-15 00:40:47,77,56.0
2019-10-15 00:40:53,77,56.0
2019-10-15 00:44:40,77,60.0
2019-10-15 00:44:43,77,57.0
2019-10-15 00:44:51,77,57.0
2019-10-15 00:44:55,77,57.0
2019-10-15 00:45:00,77,57.0
2019-10-15 00:45:03,77,57.0
2019-10-15 00:45:07,77,57.0
2019-10-15 00:45:10,77,57.0
2019-10-15 00:45:13,77,57.0
2019-10-15 00:45:17,77,57.0
2019-10-15 00:45:22,77,57.0
2019-10-15 00:45:23,77,57.0
2019-10-15 00:45:25,77,57.0
2019-10-15 00:45:32,77,57.0
2019-10-15 00:45:36,77,57.0
2019-10-15 00:45:46,77,57.0
2019-10-15 00:45:48,77,57.0
2019-10-15 00:45:51,77,57.0
2019-10-15 00:45:54,77,57.0
2019-10-15 00:45:58,77,57.0
2019-10-15 00:46:03,77,57.0
2019-10-15 00:46:05,77,57.0
2019-10-15 00:46:10,77,57.0
2019-10-15 00:46:12,77,57.0
2019-10-15 00:46:17,77,57.0
2019-10-15 00:46:19,77,57.0
2019-10-15 00:46:22,77,57.0
2019-10-15 00:46:30,77,57.0
2019-10-15 00:46:33,77,57.0
2019-10-15 00:46:35,77,57.0
2019-10-15 00:46:37,77,57.0
2019-10-15 00:46:48,77,57.0
2019-10-15 00:46:50,77,57.0
2019-10-15 00:46:58,77,57.0
2019-10-15 00:47:05,77,57.0
2019-10-15 01:04:20,77,60.0
2019-10-15 01:04:26,77,57.0
2019-10-15 01:04:29,77,57.0
2019-10-15 01:04:32,77,57.0
2019-10-15 01:04:35,77,57.0
2019-10-15 01:04:38,77,57.0
2019-10-15 01:04:42,77,57.0
2019-10-15 01:04:45,77,57.0
2019-10-15 01:04:48,77,57.0
2019-10-15 01:05:14,77,57.0
2019-10-15 01:05:17,77,57.0
2019-10-15 01:05:20,77,57.0
2019-10-15 01:05:23,77,57.0
2019-10-15 01:05:26,77,57.0
2019-10-15 01:07:33,77,57.0
2019-10-15 01:07:39,77,57.0
2019-10-15 01:08:43,77,57.0
2019-10-15 01:08:46,77,57.0
2019-10-15 01:08:52,77,57.0
2019-10-15 01:08:58,77,57.0
2019-10-15 01:09:01,77,57.0
2019-10-15 01:09:04,77,57.0
2019-10-15 01:09:07,77,57.0
2019-10-15 01:09:11,77,57.0
2019-10-15 01:09:16,77,57.0
2019-10-15 01:09:19,77,57.0
2019-10-15 01:09:23,77,57.0
2019-10-15 01:10:27,77,57.0
2019-10-15 01:10:30,77,57.0
2019-10-15 01:10:33,77,57.0
2019-10-15 01:10:37,77,57.0
2019-10-15 01:10:40,77,57.0
2019-10-15 01:10:43,77,57.0
2019-10-15 01:10:46,77,57.0
2019-10-15 01:10:49,77,57.0
2019-10-15 01:10:52,77,57.0
2019-10-15 01:10:58,77,57.0
2019-10-15 01:11:01,77,57.0
2019-10-15 01:11:05,77,57.0
2019-10-15 01:11:08,77,57.0
2019-10-15 01:11:11,77,57.0
2019-10-15 01:11:14,77,57.0
2019-10-15 01:11:17,77,57.0
2019-10-15 01:11:20,77,57.0
2019-10-15 01:11:29,77,57.0
2019-10-15 01:11:32,77,57.0
2019-10-15 01:11:51,77,57.0
2019-10-15 01:11:54,77,57.0
2019-10-15 01:11:57,77,57.0
2019-10-15 01:12:01,77,57.0
2019-10-15 01:12:04,77,57.0
2019-10-15 01:12:07,77,57.0
2019-10-15 01:12:13,77,57.0
2019-10-15 01:12:16,77,64.0
2019-10-15 01:12:19,79,71.0
2019-10-15 01:12:22,79,75.0
2019-10-15 01:12:28,81,78.0
2019-10-15 01:12:31,82,79.0
2019-10-15 01:12:34,82,78.0
2019-10-15 01:12:40,84,64.0
2019-10-15 01:12:46,84,57.0
2019-10-15 01:12:49,84,55.0
2019-10-15 01:12:52,84,53.0
2019-10-15 01:12:55,84,51.0
2019-10-15 01:12:58,84,50.0
2019-10-15 01:13:02,84,50.0
2019-10-15 01:13:05,84,49.0
2019-10-15 01:13:08,84,49.0
2019-10-15 01:13:11,84,50.0
2019-10-15 01:13:14,84,49.0
2019-10-15 01:13:17,84,49.0
2019-10-15 01:13:21,84,49.0
2019-10-15 01:13:29,84,49.0
2019-10-15 01:13:32,84,49.0
2019-10-15 01:13:35,84,49.0
2019-10-15 01:13:39,84,49.0
2019-10-15 01:13:44,84,50.0
2019-10-15 01:13:47,82,49.0
2019-10-15 01:13:53,82,49.0
2019-10-15 01:13:56,82,49.0
2019-10-15 01:13:59,82,50.0
2019-10-15 01:14:03,82,50.0
2019-10-15 01:14:08,82,64.0
2019-10-15 01:14:12,82,67.0
2019-10-15 01:14:15,84,71.0
2019-10-15 01:14:18,84,73.0
2019-10-15 01:14:21,84,73.0
2019-10-15 01:14:29,86,74.0
2019-10-15 01:14:32,88,74.0
2019-10-15 01:14:36,88,74.0
2019-10-15 01:14:39,88,73.0
2019-10-15 01:14:42,88,72.0
2019-10-15 01:14:45,90,72.0
2019-10-15 01:14:48,90,71.0
2019-10-15 01:14:51,90,71.0
2019-10-15 01:14:54,90,59.0
2019-10-15 01:14:57,90,53.0
2019-10-15 01:15:03,90,47.0
2019-10-15 01:15:06,90,45.0
2019-10-15 01:15:09,90,44.0
2019-10-15 01:15:12,90,43.0
2019-10-15 01:15:15,90,43.0
2019-10-15 01:15:18,90,43.0
2019-10-15 01:15:21,90,42.0
2019-10-15 01:15:24,90,47.0
2019-10-15 01:15:33,90,50.0
2019-10-15 01:15:36,90,48.0
2019-10-15 01:15:46,90,44.0
2019-10-15 01:15:52,88,43.0
2019-10-15 01:15:57,88,43.0
2019-10-15 01:16:03,88,43.0
2019-10-15 01:16:11,88,44.0
2019-10-15 01:16:14,88,44.0
2019-10-15 01:16:19,86,43.0
2019-10-15 01:16:23,86,44.0
2019-10-15 01:16:26,86,44.0
2019-10-15 01:16:29,86,44.0
2019-10-15 01:16:32,86,49.0
2019-10-15 01:16:35,86,55.0
2019-10-15 01:16:40,86,64.0
2019-10-15 01:16:43,86,66.0
2019-10-15 01:16:52,88,69.0
2019-10-15 01:16:57,90,69.0
2019-10-15 01:17:00,90,68.0
2019-10-15 01:17:03,90,68.0
2019-10-15 01:17:06,90,68.0
2019-10-15 01:17:09,90,67.0
2019-10-15 01:17:12,91,68.0
2019-10-15 01:17:16,91,67.0
2019-10-15 01:17:19,91,67.0
2019-10-15 01:17:27,91,66.0
2019-10-15 01:17:32,91,65.0
2019-10-15 01:17:35,91,65.0
2019-10-15 01:17:38,91,65.0
2019-10-15 01:17:42,93,65.0
2019-10-15 01:17:45,93,65.0
2019-10-15 01:17:48,93,64.0
2019-10-15 01:17:51,93,64.0
2019-10-15 01:17:54,93,56.0
2019-10-15 01:17:59,93,46.0
2019-10-15 01:18:05,91,42.0
2019-10-15 01:18:08,91,41.0
2019-10-15 01:18:11,91,41.0
2019-10-15 01:18:14,91,40.0
2019-10-15 01:18:22,91,40.0
2019-10-15 01:18:25,91,40.0
2019-10-15 01:18:33,90,40.0
2019-10-15 01:18:36,90,40.0
2019-10-15 01:18:40,90,40.0
2019-10-15 01:18:43,90,41.0
2019-10-15 01:18:46,88,41.0
2019-10-15 01:18:49,88,41.0
2019-10-15 01:18:52,88,42.0
2019-10-15 01:18:55,88,42.0
2019-10-15 01:18:58,88,42.0
2019-10-15 01:19:01,88,43.0
2019-10-15 01:19:04,88,43.0
2019-10-15 01:19:07,88,43.0
2019-10-15 01:19:10,86,43.0
2019-10-15 01:19:13,86,43.0
2019-10-15 01:19:16,86,43.0
2019-10-15 01:19:30,86,45.0
2019-10-15 01:19:33,84,45.0
2019-10-15 01:19:37,84,45.0
2019-10-15 01:19:40,84,46.0
2019-10-15 01:19:43,84,46.0
2019-10-15 01:19:46,84,46.0
2019-10-15 01:19:49,84,47.0
2019-10-15 01:19:52,84,47.0
2019-10-15 01:19:58,84,47.0
2019-10-15 01:20:01,84,54.0
2019-10-15 01:20:10,84,68.0
2019-10-15 01:20:13,86,70.0
2019-10-15 01:20:18,86,75.0
2019-10-15 01:20:22,88,76.0
2019-10-15 01:20:25,88,76.0
2019-10-15 01:20:30,90,76.0
2019-10-15 01:20:34,90,66.0
2019-10-15 01:20:37,90,57.0
2019-10-15 01:20:40,90,51.0
2019-10-15 01:20:45,90,46.0
2019-10-15 01:20:48,90,44.0
2019-10-15 01:20:51,90,43.0
2019-10-15 01:20:54,90,43.0
2019-10-15 01:20:57,90,42.0
2019-10-15 01:21:01,90,42.0
2019-10-15 01:21:04,90,42.0
2019-10-15 01:21:07,90,42.0
2019-10-15 01:21:10,90,42.0
2019-10-15 01:21:13,88,42.0
2019-10-15 01:21:18,88,43.0
2019-10-15 01:21:21,88,43.0
2019-10-15 01:21:24,88,43.0
2019-10-15 01:21:27,88,43.0
2019-10-15 01:21:31,88,43.0
2019-10-15 01:21:34,86,43.0
2019-10-15 01:21:37,86,43.0
2019-10-15 01:21:40,86,43.0
2019-10-15 01:21:45,86,44.0
2019-10-15 01:21:48,86,44.0
2019-10-15 01:21:51,86,44.0
