time,temperature,humidity
2019-11-04 22:03:50,75,36.0
2019-11-04 22:03:53,75,34.0
2019-11-04 22:03:54,75,34.0
2019-11-04 22:03:56,75,34.0
2019-11-04 22:03:57,75,34.0
2019-11-04 22:03:59,75,34.0
2019-11-04 22:04:01,75,34.0
2019-11-04 22:04:02,75,34.0
2019-11-04 22:04:05,75,34.0
2019-11-04 22:04:09,75,34.0
2019-11-04 22:04:11,75,34.0
2019-11-04 22:04:14,75,34.0
2019-11-04 22:04:17,75,34.0
2019-11-04 22:04:20,75,34.0
2019-11-04 22:04:25,75,34.0
2019-11-04 22:04:28,75,34.0
2019-11-04 22:08:51,75,34.0
2019-11-04 22:08:54,75,34.0
2019-11-04 22:08:57,75,34.0
2019-11-04 22:09:00,75,34.0
2019-11-04 22:09:03,75,34.0
2019-11-04 22:09:05,75,34.0
2019-11-04 22:09:08,75,34.0
2019-11-04 22:09:11,75,34.0
2019-11-04 22:09:14,75,33.0
2019-11-04 22:09:17,75,34.0
2019-11-04 22:09:20,75,33.0
2019-11-04 22:09:25,75,33.0
2019-11-04 22:09:30,75,33.0
2019-11-04 22:09:34,75,33.0
2019-11-04 22:09:36,75,33.0
2019-11-04 22:09:39,75,33.0
2019-11-04 22:09:47,75,33.0
2019-11-04 22:09:53,75,33.0
2019-11-04 22:09:55,75,33.0
2019-11-04 22:10:04,75,33.0
2019-11-04 22:10:11,75,33.0
2019-11-04 22:10:14,75,33.0
2019-11-04 22:10:20,75,33.0
2019-11-04 22:10:25,75,33.0
2019-11-04 22:10:28,75,33.0
2019-11-04 22:10:31,75,33.0
2019-11-04 22:10:39,75,33.0
2019-11-04 22:10:42,75,33.0
2019-11-04 22:10:45,75,33.0
2019-11-04 22:10:48,75,33.0
2019-11-04 22:10:53,75,33.0
2019-11-04 22:10:56,75,33.0
2019-11-04 22:10:59,75,33.0
2019-11-04 22:11:04,75,33.0
2019-11-04 22:11:13,75,33.0
2019-11-04 22:11:19,75,33.0
2019-11-04 22:11:22,75,33.0
2019-11-04 22:11:25,75,33.0
2019-11-04 22:11:27,75,33.0
2019-11-04 22:11:30,75,33.0
2019-11-04 22:11:33,75,33.0
2019-11-04 22:11:36,75,33.0
2019-11-04 22:11:39,75,33.0
2019-11-04 22:11:42,75,33.0
2019-11-04 22:11:45,75,33.0
2019-11-04 22:11:47,75,33.0
2019-11-04 22:11:50,75,33.0
2019-11-04 22:11:58,75,33.0
2019-11-04 23:57:59,72,48.0
2019-11-04 23:58:07,72,48.0
2019-11-04 23:58:13,72,48.0
2019-11-04 23:58:15,72,48.0
2019-11-04 23:58:18,73,48.0
2019-11-04 23:58:21,73,47.0
2019-11-04 23:58:27,73,48.0
2019-11-04 23:58:29,73,47.0
2019-11-04 23:58:32,73,47.0
2019-11-05 00:14:20,73,48.0
2019-11-05 00:14:26,73,48.0
2019-11-05 00:14:29,73,48.0
2019-11-05 00:14:32,73,48.0
2019-11-05 00:14:34,73,47.0
2019-11-05 00:14:40,73,47.0
2019-11-05 00:14:43,73,47.0
2019-11-05 00:14:45,73,47.0
2019-11-05 00:14:48,73,47.0
2019-11-05 00:14:51,73,47.0
2019-11-05 00:14:54,73,47.0
2019-11-05 00:14:57,73,47.0
2019-11-05 00:15:00,73,47.0
2019-11-05 00:15:02,73,47.0
2019-11-05 00:15:06,73,47.0
2019-11-05 00:15:09,73,47.0
2019-11-05 00:15:11,73,47.0
2019-11-05 00:15:14,73,47.0
2019-11-05 00:15:17,73,47.0
2019-11-05 00:15:20,73,47.0
2019-11-05 00:15:23,73,47.0
2019-11-05 00:15:26,73,47.0
2019-11-05 00:15:34,73,47.0
2019-11-05 00:15:37,73,47.0
2019-11-05 00:15:39,73,47.0
2019-11-05 00:15:42,73,47.0
2019-11-05 00:15:45,73,47.0
2019-11-05 00:15:48,73,47.0
2019-11-05 00:15:51,73,47.0
2019-11-05 00:15:54,73,47.0
2019-11-05 00:15:57,73,47.0
2019-11-05 00:16:00,73,47.0
2019-11-05 00:16:03,73,47.0
2019-11-05 00:16:05,73,47.0
2019-11-05 00:16:08,73,47.0
2019-11-05 00:16:11,73,47.0
2019-11-05 00:16:14,73,47.0
2019-11-05 00:16:17,73,47.0
2019-11-05 00:16:24,73,47.0
2019-11-05 00:16:28,73,47.0
2019-11-05 00:16:33,73,47.0
2019-11-05 00:16:36,73,47.0
2019-11-05 00:16:39,73,47.0
2019-11-05 00:16:42,73,47.0
2019-11-05 00:16:44,73,47.0
2019-11-05 00:16:48,73,47.0
2019-11-05 00:16:50,73,47.0
2019-11-05 00:16:53,73,47.0
2019-11-05 00:16:56,73,47.0
2019-11-05 00:16:59,73,47.0
2019-11-05 00:17:02,73,47.0
2019-11-05 00:17:05,73,47.0
2019-11-05 00:17:08,73,47.0
2019-11-05 00:17:11,73,47.0
2019-11-05 00:17:16,73,47.0
2019-11-05 00:17:19,73,47.0
2019-11-05 00:17:22,73,47.0
2019-11-05 00:17:25,73,47.0
2019-11-05 00:17:28,73,47.0
2019-11-05 00:17:31,73,47.0
2019-11-05 00:17:34,73,47.0
2019-11-05 00:17:36,73,47.0
2019-11-05 00:17:39,73,47.0
2019-11-05 00:17:50,73,47.0
2019-11-05 00:17:53,73,47.0
2019-11-05 00:18:01,73,47.0
2019-11-05 00:18:04,73,47.0
2019-11-05 00:18:09,73,47.0
2019-11-05 00:18:12,73,47.0
2019-11-05 00:18:18,73,47.0
2019-11-05 00:18:23,73,47.0
2019-11-05 00:18:26,73,47.0
2019-11-05 00:18:29,73,47.0
2019-11-05 00:18:32,73,47.0
2019-11-05 00:18:42,73,47.0
2019-11-05 00:18:45,73,47.0
2019-11-05 00:18:51,73,47.0
2019-11-05 00:18:56,73,47.0
2019-11-05 00:19:02,73,47.0
2019-11-05 00:19:04,73,47.0
2019-11-05 00:19:07,73,47.0
2019-11-05 00:19:12,73,47.0
2019-11-05 00:19:16,73,47.0
2019-11-05 00:19:18,73,47.0
2019-11-05 00:19:21,73,47.0
2019-11-05 00:19:24,73,46.0
2019-11-05 00:19:27,73,46.0
2019-11-05 00:19:30,73,46.0
2019-11-05 00:19:33,73,46.0
2019-11-05 00:19:35,73,46.0
2019-11-05 00:19:38,73,46.0
2019-11-05 00:19:41,73,46.0
2019-11-05 00:19:44,73,47.0
2019-11-05 00:19:47,73,47.0
2019-11-05 00:19:50,73,46.0
2019-11-05 00:19:53,73,46.0
2019-11-05 00:19:55,73,46.0
2019-11-05 00:19:58,73,47.0
2019-11-05 00:20:01,73,46.0
2019-11-05 00:20:07,73,47.0
2019-11-05 00:20:12,73,47.0
2019-11-05 00:20:15,73,47.0
2019-11-05 00:20:21,73,47.0
2019-11-05 00:20:26,73,47.0
2019-11-05 00:20:29,73,47.0
2019-11-05 00:20:32,73,47.0
2019-11-05 00:20:35,73,47.0
2019-11-05 12:29:55,72,57.0
2019-11-05 12:29:58,72,57.0
2019-11-05 12:30:01,72,57.0
2019-11-05 12:30:04,72,57.0
2019-11-05 12:30:07,72,57.0
2019-11-05 12:30:09,72,57.0
2019-11-05 12:30:15,72,57.0
2019-11-05 12:30:18,72,57.0
2019-11-05 12:30:23,72,57.0
2019-11-05 12:30:36,72,56.0
2019-11-05 12:30:39,72,56.0
